"filename", "language", "SQL", "Properties", "JavaScript", "Markdown", "Handlebars", "comment", "blank", "total"
"c:\Users\Bootcamp\repos\challenges\tech-blog\.env", "Properties", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Bootcamp\repos\challenges\tech-blog\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Bootcamp\repos\challenges\tech-blog\config\connection.js", "JavaScript", 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\index.js", "JavaScript", 0, 0, 4, 0, 0, 3, 3, 10
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\api\userRoutes.js", "JavaScript", 0, 0, 68, 0, 0, 5, 14, 87
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\commentController.js", "JavaScript", 0, 0, 53, 0, 0, 6, 6, 65
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\homeRoute.js", "JavaScript", 0, 0, 142, 0, 0, 16, 22, 180
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\index.js", "JavaScript", 0, 0, 10, 0, 0, 3, 3, 16
"c:\Users\Bootcamp\repos\challenges\tech-blog\controllers\postController.js", "JavaScript", 0, 0, 75, 0, 0, 6, 10, 91
"c:\Users\Bootcamp\repos\challenges\tech-blog\db\schema.sql", "SQL", 3, 0, 0, 0, 0, 1, 0, 4
"c:\Users\Bootcamp\repos\challenges\tech-blog\db\seed.sql", "SQL", 36, 0, 0, 0, 0, 5, 6, 47
"c:\Users\Bootcamp\repos\challenges\tech-blog\models\comment.js", "JavaScript", 0, 0, 38, 0, 0, 0, 3, 41
"c:\Users\Bootcamp\repos\challenges\tech-blog\models\index.js", "JavaScript", 0, 0, 22, 0, 0, 2, 8, 32
"c:\Users\Bootcamp\repos\challenges\tech-blog\models\post.js", "JavaScript", 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\Bootcamp\repos\challenges\tech-blog\models\user.js", "JavaScript", 0, 0, 56, 0, 0, 3, 4, 63
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\addComment.js", "JavaScript", 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\addPost.js", "JavaScript", 0, 0, 33, 0, 0, 6, 8, 47
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\deletePost.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\editPost.js", "JavaScript", 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\login.js", "JavaScript", 0, 0, 43, 0, 0, 15, 13, 71
"c:\Users\Bootcamp\repos\challenges\tech-blog\public\js\logout.js", "JavaScript", 0, 0, 14, 0, 0, 4, 3, 21
"c:\Users\Bootcamp\repos\challenges\tech-blog\server.js", "JavaScript", 0, 0, 44, 0, 0, 8, 8, 60
"c:\Users\Bootcamp\repos\challenges\tech-blog\utils\auth.js", "JavaScript", 0, 0, 8, 0, 0, 3, 1, 12
"c:\Users\Bootcamp\repos\challenges\tech-blog\utils\helpers.js", "JavaScript", 0, 0, 5, 0, 0, 3, 1, 9
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\account.handlebars", "Handlebars", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\create-post.handlebars", "Handlebars", 0, 0, 0, 0, 23, 0, 1, 24
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\dashboard.handlebars", "Handlebars", 0, 0, 0, 0, 48, 7, 12, 67
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\edit-post.handlebars", "Handlebars", 0, 0, 0, 0, 14, 0, 4, 18
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\home.handlebars", "Handlebars", 0, 0, 0, 0, 34, 3, 3, 40
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\layouts\main.handlebars", "Handlebars", 0, 0, 0, 0, 36, 5, 3, 44
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\login.handlebars", "Handlebars", 0, 0, 0, 0, 40, 0, 3, 43
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\signup.handlebars", "Handlebars", 0, 0, 0, 0, 37, 1, 4, 42
"c:\Users\Bootcamp\repos\challenges\tech-blog\views\single-post.handlebars", "Handlebars", 0, 0, 0, 0, 16, 2, 2, 20
"Total", "-", 39, 4, 737, 1, 248, 107, 161, 1297